content,gender_imputed
我觉得没必要吧，别到时候真的不成又烙下什么臭名号,0
如果想确定适不适合结婚的话，那婚前同居必不可少。不然你永远也不知道另一半是性变态还是性无能，还是同性恋……,1
比如两个在外打拼的年轻人，这种同居就很自然也很普遍。要是都是在自己家乡的话，同居还得考虑长辈等人的眼光，就不容易空,1
主要是看双方的三观，世界本来就是多元的，有的人怕以后不和谐，有的人更享受精神，有的人只愿意和另一半一起探索，我好久没有恋爱了，以前恋爱也没有要求同居，也没有要求发生点什么，这是我自己的选择，我也不把我的思维加给别人，喜欢一切都建立在愿意的基础上，只是对待每一份情感最好要认真，要慎重，要保护自己，也要学习一些东西,0
偶尔同居吧。偶尔很有必要。长年累月同居真的真的不赞成。完全不同居就结婚，柏拉图式的恋爱，就现在这个社会，呵呵哒，不现实。一起老夫老妻过个两三年，结婚了也许圆满。就这也会有可能离婚。毕竟有了孩子继续是新的考验，小三有可能在你们四五十岁杀出来。别以为同居考核通过就万事大吉。没结成婚分道扬镳，你用精致的利己主义心态说反正没有人知道，我觉得太天真，难道这几年时光你们不见朋友，在天高路远的地方？而且这几年也是你自己的宝贵人生，你拿去赌别人究竟好不好，拿来试婚，过早浸泡在琐碎二人世界，浪费!   我觉得长时间同居真不好。排前面文章有一个同居两个月的分手了，这个可以，就这么长就够够的了，再别时间拖太久。你的独立生活多嗨，多个人天天大眼瞪小眼干啥子？吃饱了撑的。这个回答下，很多人说有必要。也有人说不好。那是每个人情况不同!  别盲目站队。最大众化的我觉得最理想的情况就是，各自有窝，各种自由的把握好自己的个人时光，作为成年人，一个有生理需求的人，偶尔肯定要腻歪几天，应该的。然后打算结婚的擦亮眼睛，在这段时间好好评估对方。鸡贼点。最后明白:没有绝对保险的婚姻，结婚时总要做好离婚的风险意识。最后的最后意淫一下:如果是和何润东同居，但是结不了婚，这种过客身份，我做梦都要同居。天天洗衣做饭也幸福。因人而异对不对,0
嗯，我和我对象开始好的时候甜甜蜜蜜，最后我考研出去租房子，就想着叫她一起出去来住。她也同意了，结果我俩住在一起才发现问题多到爆炸。她的女性思维无时无刻和我的男性思维在碰撞，吵架吵的我们俩都有些抑郁了。但这样磨合了很长一段时间，慢慢的各自的底线，各自的性格都有了更深的了解后。住在一起慢慢慢慢没那么容易吵架了。像现在毕业了，我们住在一起一个月能吵一次吧！差不多和我与家里父母吵架的频率差不多   结婚前要不要同居这件事，我觉得刚在一起不了解太多的人不要轻易同居，很容易一同居就凉了。但是熟悉一段日子后一定要同居下，相处久才能看到去掉一切伪装的对方。当然没有完美的人，每个人相处都是互相磨合的，要给对方磨合的机会。,1
前段时间还在和室友聊婚前要不要同居，当时我的观点是不要同居，吃亏是永远都是女孩子。就在就两天我的观点又变了，哈哈哈哈，一定要同居，不同居婚前永远不知道他是什么样的人。,0
有必要。如果结婚是准备过一辈子的话。结婚的任务是组建家庭，生儿育女。不过说两个题外话。（1）现代婚姻已经没有男权时代的那种处女仪式了。婚姻也不再是父母之命，媒妁之言。既然同居是除了不生孩子，已经干了所有婚后该做的事情。（比如，以前的夫妻生活，现在叫为爱鼓掌）而且我身边的女性朋友在同居中的付出不亚于婚后。那么彩礼这东西，更多的就是个仪式而已。（2）而且婚姻这东西，本身就是到了一定年龄才应该有的东西。同居也不必非得奔着婚姻去。单纯的如胶似漆，过家家也没什么。只是不要再叫黄花闺女了（恋爱先生里江疏影雷到我了）。,1
必要太绝对了，其实同居的目的是更深一步的了解，确定彼此相处是否会融洽。这个跟同不同居好像关系不太大，是一种相处的能力。当然同居会暴露出许多的问题，但只要决心好好相处，有相处的能力，不同居那些问题也可以解决掉。但是我个人倾向于同居，因为同居就像是催化剂，相处的好的同居后会更好，相处不好的会加速分手，节省恋爱的时间。而且，如果同居期发现不合适而又不想分手，还可以尽早想办法解决问题，不至于婚后苦恼。毕竟，有一张纸和没有那张纸还是有顾虑的吧。,1
真的有必要同居，检测双方默契程度，离婚率这么高就是缺少必要的了解，只是女士们觉得婚前同居自己吃亏，好多女士宁愿婚后鸡飞狗跳，也不愿吃这个亏，结果弄个二婚，其实同居真的不一定是女士吃亏。两个人的生活习惯，思维方式，说话做事，以及和对方亲属的相处都是有必要提前了解的，如果女士不愿那啥，男士也不那么好得逞的，而且还有其他方式解决这个问题,1
