content,gender_imputed
如果我也和爱的女人同居过，就不介意了，如果没有，那是相当介意。谁他妈也不想自己买的新楼是二手房呀。除非自己本身就是冲着二手房价格便宜去的。,1
不介意。每个人都有每个人的过去，我们要活在当下,0
价值观方面的 该说的大家都说了我们就是坚持：没决定未来 就不同居就是好奇：有些同居的 是不在乎吗？没有考虑过后果？以前听说过一种：仅是住在一起 但是都不在一个床上睡 从不；这个 暂时不算我们讨论的哦,1
介意，这都不用说了，我也是这样的经历，在考虑要不要换,1
不请自来啦不介意噢（很乱搞的那种情况另说）我不是去拿别人的过去来惩罚现在的自己的人，我为什么要因为对象同居过感到非常介意，然后无限放大去惩罚自己让自己不开心噢？比起他同居不同居，我觉得他内心是不是完完全全是我，前任清扫干净不在他心里了这件事更重要噢！就算他没有同居过（好叭，我男朋友确实没有同居过 ），但心里还有前任的位置，那我会被恶心死的噢噢对了，现在的我还没开始跟男朋友同居哒,0
介意，相当于二婚,0
之前有一个朋友问我：介意自己交往的对象和前任同居过吗？我说无所谓，只要不让我看到前任留下的痕迹我反问他介意吗？稍微犹豫后说多多少少有点介意叭我也沉默了下，心里想这都什么年代了居然还有这种想法？？？不过转念一想，也对，每个人都有独立思考的权利个人想法嘛当然可以随意想啦~只不过不要双标！！！对自己什么要求，对对方也是同样要求，我觉得很ok但如果宽以待己，严以律人，这就双标了嗷自己可以放火，不允许对方点灯这是不是有丢丢不讲道理呢如果自己没有同居过，要求对象也没有和前任同居这我没什么想法，只要不双标那就是你的自由如果你和前任同居过，就不要再用你的标准来要求对方也不要自寻烦恼，同居这件事想开了并没有那么重要就是要在恋爱的时候尝试了解才知道这个人是否适合、能够陪伴自己一生当然啦心里介意也挺正常“你的过去我不曾参与，你的未来我奉陪到底”这些话电视剧里可能有，但现实生活中绝大多数人会介意不过这里的介意不介意是有前提那就是两个人要坦诚相待如果刚开始谈恋爱的时候隐瞒不说在对方问的时候支支吾吾直到对方看到了一些前任留下的痕迹后才坦白好像就有点太迟了人与人之间，讲究信任感，男女朋友之间更是如此将一切摊开后还是很介意怎么办？介意的人没法在一起，若一边介意一边纠缠不清迟早会出现矛盾这是一个二选一的问题，要不就因介意而分开要不就不要介意，这样才能敞开心扉，坦诚相待总是来来回回，摇摆不定答案是分手比较好！就算勉强在一起，心底始终扎着一根刺以后总是不断想起来，争吵无可避免互相折磨、彼此消耗说到底，其实还是看爱不爱和爱的程度如果爱，那ta的小缺点在你眼里无关紧要甚至觉得有点可爱如果不爱或者不够爱，那再闪光的优点也会变成缺点但是呢如果我真的爱ta我想我可以包容ta过去的很多事（触碰道德和法律底线的除外哈）也会尊重ta过去的选择毕竟那都是在认识之前发生的事不管是谁都有过去，只是坦诚不坦诚的问题感情的事情最难说了，只要ta足够真心整理好了与前任的感情就没太所谓太过于纠结对方的过去，不过是自寻烦恼过去发生的事情谁也没有办法改变只要两个人在后来能好好的就行老是揪着对方的过去不放手多累啊任何事选择权都在自己手上只要不是一边介意一边折磨对方就好介意就分开，不介意就继续爱着，世界就是如此。综上，希望你们今天也能和喜欢的人睡觉觉,0
如果不是真爱，谁会当舔狗呢,1
总给我推这个……同居？？？,0
必须！一定！介意今天晚上刚刚在知乎看到一个王八蛋，偷拍同居的异性做饭，人家菇凉就穿了个内裤，或者说比内裤还短的短裤吧，这人他妈的还放到了知乎上来喷了，举报了，评论被删除了，从此决心我就是卖血也不能让女朋友去跟别的男的合租，这个世界，什么牛鬼蛇神都有,1
不介意，谁没过去啊,0
二手房无所谓，但死过人就不行前房东有钥匙就更不行并不介意对方有过去甚至或许也不会介意对方的过去到了一种什么地步但我介意的是隐瞒欺骗，甚至藕断丝连介意对方的过去还没有过去,0
